dataset,initial_layout,neighbor_method,experiment_num,experiment_name,final_fitness,result_file,neighbor_short
moby_dick,GA_Exp3,random,5,Logarithmic_Slow,769434.6,,global
moby_dick,GA_Exp3,random,6,Linear_Aggressive,769434.6,,global
moby_dick,GA_Exp3,random,7,Geometric_VeryHigh,769434.6,,global
moby_dick,GA_Exp3,random,8,Geometric_UltraSlow,768816.1,,global
moby_dick,GA_Exp4,local,1,Geometric_Fast,765886.5,,local
moby_dick,GA_Exp4,local,2,Geometric_Balanced,765886.5,,local
moby_dick,GA_Exp4,local,3,Geometric_Slow,765886.5,,local
moby_dick,GA_Exp4,local,4,Logarithmic_Fast,765886.5,results/sa/moby_dick/GA_Exp4/results.txt,local
moby_dick,GA_Exp4,local,5,Logarithmic_Slow,765886.5,results/sa/moby_dick/GA_Exp4/results.txt,local
moby_dick,GA_Exp4,local,6,Linear_Aggressive,765886.5,results/sa/moby_dick/GA_Exp4/results.txt,local
moby_dick,GA_Exp4,local,7,Geometric_VeryHigh,765886.5,results/sa/moby_dick/GA_Exp4/results.txt,local
moby_dick,GA_Exp4,local,8,Geometric_UltraSlow,765886.5,results/sa/moby_dick/GA_Exp4/results.txt,local
moby_dick,GA_Exp4,random,1,Geometric_Fast,765886.5,,global
moby_dick,GA_Exp4,random,2,Geometric_Balanced,765886.5,,global
moby_dick,GA_Exp4,random,3,Geometric_Slow,765886.5,,global
moby_dick,GA_Exp4,random,4,Logarithmic_Fast,765886.5,,global
moby_dick,GA_Exp4,random,5,Logarithmic_Slow,765886.5,,global
moby_dick,GA_Exp4,random,6,Linear_Aggressive,765886.5,,global
moby_dick,GA_Exp4,random,7,Geometric_VeryHigh,765886.5,,global
moby_dick,GA_Exp4,random,8,Geometric_UltraSlow,762870.5,,global
moby_dick,QWERTY,local,1,Geometric_Fast,982261.9,,local
moby_dick,QWERTY,local,2,Geometric_Balanced,1022454.3,,local
moby_dick,QWERTY,local,3,Geometric_Slow,892127.5,,local
moby_dick,QWERTY,local,4,Logarithmic_Fast,1027216.5,results/sa/moby_dick/QWERTY/results.txt,local
moby_dick,QWERTY,local,5,Logarithmic_Slow,1092750.0,results/sa/moby_dick/QWERTY/results.txt,local
moby_dick,QWERTY,local,6,Linear_Aggressive,842268.5,results/sa/moby_dick/QWERTY/results.txt,local
moby_dick,QWERTY,local,7,Geometric_VeryHigh,964721.9,results/sa/moby_dick/QWERTY/results.txt,local
moby_dick,QWERTY,local,8,Geometric_UltraSlow,960445.5,results/sa/moby_dick/QWERTY/results.txt,local
moby_dick,QWERTY,random,1,Geometric_Fast,762870.5,,global
moby_dick,QWERTY,random,2,Geometric_Balanced,768816.1,,global
moby_dick,QWERTY,random,3,Geometric_Slow,762870.5,,global
moby_dick,QWERTY,random,4,Logarithmic_Fast,795531.0,,global
moby_dick,QWERTY,random,5,Logarithmic_Slow,801389.8,,global
moby_dick,QWERTY,random,6,Linear_Aggressive,768965.0,,global
moby_dick,QWERTY,random,7,Geometric_VeryHigh,769701.8,,global
moby_dick,QWERTY,random,8,Geometric_UltraSlow,765886.5,,global
moby_dick,QWERTZ,local,1,Geometric_Fast,1069508.0,,local
moby_dick,QWERTZ,local,2,Geometric_Balanced,963812.3,,local
moby_dick,QWERTZ,local,3,Geometric_Slow,951459.5,,local
moby_dick,QWERTZ,local,4,Logarithmic_Fast,1067299.8,results/sa/moby_dick/QWERTZ/results.txt,local
