============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 1500 (15.0%)
Tournament size: 5
Mutation rate: 0.5

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
DVORAK Fitness: 1,433,882.9

DVORAK:
   '  ,  .  p  y  f  g  c  r  l
   a  o  e  u  i  d  h  t  n  s
   ;  q  j  k  x  b  m  w  v  z

QWERTZ Fitness: 1,877,982.0

QWERTZ:
   q  w  e  r  t  z  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   y  x  c  v  b  n  m  ,  .  '

COLEMAK Fitness: 1,368,940.0

COLEMAK:
   q  w  f  p  g  j  l  u  y  ;
   a  r  s  t  d  h  n  e  i  o
   z  x  c  v  b  k  m  ,  .  '


Best Evolved Fitness: 767,943.6
Improvement vs QWERTY: 57.83%
Improvement vs DVORAK: 46.44%
Improvement vs QWERTZ: 59.11%
Improvement vs COLEMAK: 43.90%

Layout representation:
['j', 'q', 'b', 'l', 'd', 'g', 'u', 'y', ';', "'", 'f', 'm', 'r', 's', 'n', 'e', 'a', 'o', ',', '.', 'x', 'v', 'p', 'c', 'h', 'i', 't', 'w', 'k', 'z']

OPTIMIZED LAYOUT:
   j  q  b  l  d  g  u  y  ;  '
   f  m  r  s  n  e  a  o  ,  .
   x  v  p  c  h  i  t  w  k  z

============================================================
DATOS PARA LATEX
============================================================

% Generación y Best Fitness
% coordinates {(gen, fitness)}

(1, 1375854.6)
(2, 1341306.4)
(3, 1271493.2)
(4, 1252778.8)
(5, 1205777.5)
(6, 1177482.4)
(7, 1172517.2)
(8, 1128409.5)
(9, 1128409.5)
(10, 1119507.1)
(11, 1104802.5)
(12, 1053121.6)
(13, 1053121.6)
(14, 1053121.6)
(15, 1025376.3)
(16, 1025376.3)
(17, 1019542.7)
(18, 1019542.7)
(19, 1017352.2)
(20, 1017352.2)
(21, 1017352.2)
(22, 1005606.5)
(23, 996117.2)
(24, 996117.2)
(25, 996117.2)
(26, 993713.6)
(27, 976407.4)
(28, 967079.0)
(29, 967079.0)
(30, 955574.8)
(31, 941334.9)
(32, 941334.9)
(33, 941334.9)
(34, 941334.9)
(35, 916842.4)
(36, 916842.4)
(37, 916092.0)
(38, 911292.7)
(39, 911292.7)
(40, 886100.4)
(41, 880204.1)
(42, 880204.1)
(43, 874742.0)
(44, 868690.7)
(45, 868690.7)
(46, 856930.6)
(47, 856930.6)
(48, 849357.6)
(49, 849357.6)
(50, 837887.2)
(51, 837887.2)
(52, 825669.8)
(53, 825669.8)
(54, 812349.9)
(55, 805347.9)
(56, 799924.0)
(57, 785034.9)
(58, 785034.9)
(59, 785034.9)
(60, 782543.4)
(61, 782543.4)
(62, 782543.4)
(63, 780935.0)
(64, 779294.8)
(65, 778560.0)
(66, 777729.5)
(67, 774364.5)
(68, 774364.5)
(69, 774364.5)
(70, 773217.5)
(71, 773217.5)
(72, 771910.7)
(73, 771772.4)
(74, 771772.4)
(75, 770627.0)
(76, 770012.5)
(77, 769330.3)
(78, 769330.3)
(79, 769330.3)
(80, 769178.8)
(81, 768965.0)
(82, 768965.0)
(83, 768965.0)
(84, 768965.0)
(85, 768965.0)
(86, 768965.0)
(87, 768965.0)
(88, 768965.0)
(89, 768965.0)
(90, 768965.0)
(91, 768965.0)
(92, 768965.0)
(93, 768965.0)
(94, 768965.0)
(95, 768965.0)
(96, 768965.0)
(97, 768503.5)
(98, 768503.5)
(99, 768503.5)
(100, 768503.5)
(101, 768503.5)
(102, 768503.5)
(103, 768361.1)
(104, 768149.8)
(105, 768149.8)
(106, 768149.8)
(107, 768149.8)
(108, 768149.8)
(109, 767943.6)
(110, 767943.6)
(111, 767943.6)
(112, 767943.6)
(113, 767943.6)
(114, 767943.6)
(115, 767943.6)
(116, 767943.6)
(117, 767943.6)
(118, 767943.6)
(119, 767943.6)
(120, 767943.6)
(121, 767943.6)
(122, 767943.6)
(123, 767943.6)
(124, 767943.6)
(125, 767943.6)
(126, 767943.6)
(127, 767943.6)
(128, 767943.6)
(129, 767943.6)
(130, 767943.6)
(131, 767943.6)
(132, 767943.6)
(133, 767943.6)
(134, 767943.6)
(135, 767943.6)
(136, 767943.6)
(137, 767943.6)
(138, 767943.6)
(139, 767943.6)
(140, 767943.6)
(141, 767943.6)
(142, 767943.6)
(143, 767943.6)
(144, 767943.6)
(145, 767943.6)
(146, 767943.6)
(147, 767943.6)
(148, 767943.6)
(149, 767943.6)
(150, 767943.6)

============================================================

Time consumed: 589.52s (00h09m49s)
