Configuration,Text,Final Fitness,Layout
Elite_10pct,Wizard of Oz,121788.1,"['x', 'k', 'w', 's', 'h', 'i', 't', 'c', ',', ';', 'v', 'd', 'n', 'l', 'r', 'e', 'a', 'o', 'y', '.', 'q', 'j', 'b', 'f', 'm', 'g', 'u', 'p', 'z', ""'""]"
Elite_20pct,Wizard of Oz,127170.9,"['j', 'p', 'u', 't', 'c', 'h', 's', 'w', 'b', 'q', '.', 'f', 'i', 'a', 'e', 'r', 'o', 'l', 'm', 'v', ""'"", 'z', ',', 'g', 'y', 'n', 'd', 'k', 'x', ';']"
Elite_50pct,Wizard of Oz,127482.4,"[';', '.', 'w', 't', 'y', 'h', 's', 'd', ',', 'x', 'z', 'g', 'i', 'a', 'e', 'r', 'o', 'n', 'l', 'v', ""'"", 'j', 'f', 'c', 'u', 'm', 'p', 'k', 'b', 'q']"
Elite_15pct,Wizard of Oz,130209.4,"['q', 'g', 'c', 't', 'd', 'h', 's', 'n', 'k', 'x', 'p', 'u', 'i', 'a', 'e', 'r', 'o', 'l', ',', 'v', 'j', 'z', 'f', 'w', 'y', 'm', 'b', '.', ';', ""'""]"
Elite_20pct,Moby Dick,765886.5,"[""'"", 'z', 'w', 't', 'i', 'h', 'c', 'f', 'k', 'x', '.', ',', 'o', 'a', 'e', 'n', 's', 'r', 'm', 'v', 'j', ';', 'y', 'u', 'g', 'd', 'l', 'p', 'b', 'q']"
Elite_15pct,Moby Dick,769434.6,"['x', 'v', 'w', 'c', 'h', 'i', 't', 'k', 'z', ""'"", 'f', 'm', 'r', 's', 'n', 'e', 'a', 'o', ',', '.', 'q', 'b', 'p', 'l', 'd', 'g', 'u', 'y', ';', 'j']"
Elite_10pct,Moby Dick,782980.9,"['z', 'x', 'b', 'l', 'd', ',', 'y', 'k', ';', ""'"", 'v', 'm', 'r', 's', 'n', 'e', 'a', 'i', 'g', '.', 'q', 'f', 'p', 'c', 'h', 'o', 't', 'u', 'w', 'j']"
Elite_5pct,Moby Dick,790216.2,"['x', 'p', 'c', 's', 'h', 'i', 't', 'w', 'k', ';', 'v', 'm', 'u', 'r', 'n', 'e', 'a', 'o', ',', '.', 'z', 'q', 'f', 'l', 'd', 'g', 'b', 'y', 'j', ""'""]"
Elite_50pct,Moby Dick,790774.5,"['z', 'k', 'f', 'w', 'h', 'i', 't', 'c', '.', 'q', 'b', 'l', 'r', 's', 'n', 'e', 'a', 'o', 'u', 'y', 'j', 'x', 'v', 'd', 'm', ',', 'g', 'p', ';', ""'""]"
Elite_30pct,Moby Dick,801211.5,"[';', '.', 'w', 't', 'u', 'h', 's', 'p', 'x', 'q', ',', 'd', 'e', 'a', 'i', 'n', 'o', 'r', 'm', 'v', ""'"", 'k', 'y', 'g', 'f', 'l', 'c', 'b', 'j', 'z']"
