============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 15000 (15.0%)
Tournament size: 7
Mutation rate: 0.15

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen  38/150 | Best:    847,145.5 | Avg:    944,581.4
Gen  39/150 | Best:    843,866.8 | Avg:    984,175.7
Gen  40/150 | Best:    835,674.0 | Avg:  1,036,419.7
Gen  41/150 | Best:    835,674.0 | Avg:  1,010,732.3
Gen  42/150 | Best:    833,018.4 | Avg:    879,664.0
Gen  43/150 | Best:    830,967.0 | Avg:    873,637.4
Gen  44/150 | Best:    829,866.0 | Avg:    873,387.3
Gen  45/150 | Best:    823,468.4 | Avg:    883,376.6
Gen  46/150 | Best:    823,468.4 | Avg:    910,189.9
Gen  47/150 | Best:    821,680.3 | Avg:    913,537.7
Gen  48/150 | Best:    821,680.3 | Avg:    872,827.6
Gen  49/150 | Best:    820,177.2 | Avg:    857,109.2
Gen  50/150 | Best:    813,442.0 | Avg:    875,635.7
Gen  51/150 | Best:    805,774.4 | Avg:    905,155.1
Gen  52/150 | Best:    803,895.5 | Avg:    901,895.4
Gen  53/150 | Best:    803,538.8 | Avg:    881,374.7
Gen  54/150 | Best:    795,721.7 | Avg:    874,788.6
Gen  55/150 | Best:    795,721.7 | Avg:    878,721.3
Gen  56/150 | Best:    795,721.7 | Avg:    866,278.3
Gen  57/150 | Best:    791,801.4 | Avg:    867,270.3
Gen  58/150 | Best:    791,801.4 | Avg:    877,151.8
Gen  59/150 | Best:    788,723.7 | Avg:    853,325.6
Gen  60/150 | Best:    788,723.7 | Avg:    828,873.0
Gen  61/150 | Best:    788,723.7 | Avg:    815,295.3
Gen  62/150 | Best:    786,634.5 | Avg:    817,560.6
Gen  63/150 | Best:    783,445.4 | Avg:    824,134.8
Gen  64/150 | Best:    783,445.4 | Avg:    823,743.6
Gen  65/150 | Best:    782,694.5 | Avg:    817,804.3
Gen  66/150 | Best:    780,468.7 | Avg:    812,273.4
Gen  67/150 | Best:    779,270.5 | Avg:    812,134.9
Gen  68/150 | Best:    779,270.5 | Avg:    817,567.8
Gen  69/150 | Best:    779,216.2 | Avg:    829,363.7
Gen  70/150 | Best:    778,058.8 | Avg:    841,885.5
Gen  71/150 | Best:    777,443.0 | Avg:    848,538.7
Gen  72/150 | Best:    777,443.0 | Avg:    837,725.7
Gen  73/150 | Best:    776,068.5 | Avg:    832,275.1
Gen  74/150 | Best:    776,068.5 | Avg:    846,920.2
Gen  75/150 | Best:    776,068.5 | Avg:    859,460.9
Gen  76/150 | Best:    774,824.6 | Avg:    872,433.4
Gen  77/150 | Best:    774,824.6 | Avg:    856,412.5
Gen  78/150 | Best:    774,824.6 | Avg:    870,128.6
Gen  79/150 | Best:    774,634.3 | Avg:    850,132.6
Gen  80/150 | Best:    774,634.3 | Avg:    800,542.2
Gen  81/150 | Best:    774,634.3 | Avg:    802,938.0
Gen  82/150 | Best:    774,634.3 | Avg:    809,356.7
Gen  83/150 | Best:    774,634.3 | Avg:    792,676.8
Gen  84/150 | Best:    774,634.3 | Avg:    792,248.0
Gen  85/150 | Best:    774,634.3 | Avg:    792,175.8
Gen  86/150 | Best:    774,634.3 | Avg:    792,238.6
Gen  87/150 | Best:    774,634.3 | Avg:    792,579.8
Gen  88/150 | Best:    774,634.3 | Avg:    792,177.7
Gen  89/150 | Best:    774,634.3 | Avg:    792,296.5
Gen  90/150 | Best:    774,634.3 | Avg:    792,152.8
Gen  91/150 | Best:    774,634.3 | Avg:    792,416.4
Gen  92/150 | Best:    774,634.3 | Avg:    792,310.6
Gen  93/150 | Best:    774,634.3 | Avg:    792,348.6
Gen  94/150 | Best:    774,634.3 | Avg:    792,225.4
Gen  95/150 | Best:    774,634.3 | Avg:    792,352.6
Gen  96/150 | Best:    774,634.3 | Avg:    792,186.1
Gen  97/150 | Best:    774,634.3 | Avg:    792,104.3
Gen  98/150 | Best:    774,634.3 | Avg:    792,461.3
Gen  99/150 | Best:    774,634.3 | Avg:    792,171.0
Gen 100/150 | Best:    774,634.3 | Avg:    792,546.5
Gen 101/150 | Best:    774,634.3 | Avg:    792,257.0
Gen 102/150 | Best:    774,634.3 | Avg:    791,967.7
Gen 103/150 | Best:    774,634.3 | Avg:    792,336.2
Gen 104/150 | Best:    774,634.3 | Avg:    792,620.9
Gen 105/150 | Best:    774,634.3 | Avg:    792,436.8
Gen 106/150 | Best:    774,634.3 | Avg:    792,608.6
Gen 107/150 | Best:    774,634.3 | Avg:    791,700.2
Gen 108/150 | Best:    774,634.3 | Avg:    792,567.6
Gen 109/150 | Best:    774,634.3 | Avg:    792,724.8
Gen 110/150 | Best:    774,634.3 | Avg:    792,450.9
Gen 111/150 | Best:    774,634.3 | Avg:    792,264.6
Gen 112/150 | Best:    774,634.3 | Avg:    792,372.7
Gen 113/150 | Best:    774,634.3 | Avg:    792,597.3
Gen 114/150 | Best:    774,634.3 | Avg:    792,524.5
Gen 115/150 | Best:    774,634.3 | Avg:    792,849.2
Gen 116/150 | Best:    774,634.3 | Avg:    792,375.1
Gen 117/150 | Best:    774,634.3 | Avg:    792,589.9
Gen 118/150 | Best:    774,634.3 | Avg:    792,507.1
Gen 119/150 | Best:    774,634.3 | Avg:    792,420.4
